Date,2019/10/22,
Time,22:00:00,
Memo,SEAC MS-711,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.7,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,0.03,
301.00,-0.01,
302.00,-0.02,
303.00,-0.01,
304.00,-0.00,
305.00,0.00,
306.00,-0.01,
307.00,-0.02,
308.00,-0.01,
309.00,0.02,
310.00,0.01,
311.00,-0.00,
312.00,-0.00,
313.00,0.00,
314.00,0.02,
315.00,0.02,
316.00,0.01,
317.00,0.00,
318.00,0.02,
319.00,0.02,
320.00,0.02,
321.00,-0.00,
322.00,-0.00,
323.00,0.02,
324.00,0.01,
325.00,0.01,
326.00,0.00,
327.00,-0.01,
328.00,0.00,
329.00,0.02,
330.00,0.00,
331.00,0.00,
332.00,0.03,
333.00,0.02,
334.00,0.02,
335.00,0.01,
336.00,-0.01,
337.00,-0.00,
338.00,0.01,
339.00,-0.01,
340.00,-0.01,
341.00,0.00,
342.00,0.00,
343.00,0.01,
344.00,-0.00,
345.00,-0.02,
346.00,-0.02,
347.00,0.00,
348.00,-0.02,
349.00,-0.02,
350.00,-0.01,
351.00,-0.01,
352.00,0.01,
353.00,0.01,
354.00,0.01,
355.00,0.00,
356.00,0.02,
357.00,0.01,
358.00,0.02,
359.00,-0.00,
360.00,-0.00,
361.00,0.01,
362.00,0.00,
363.00,-0.00,
364.00,-0.01,
365.00,-0.02,
366.00,-0.01,
367.00,0.00,
368.00,-0.02,
369.00,-0.02,
370.00,0.01,
371.00,0.01,
372.00,0.01,
373.00,-0.00,
374.00,-0.01,
375.00,0.00,
376.00,0.01,
377.00,-0.02,
378.00,-0.02,
379.00,0.01,
380.00,0.01,
381.00,0.01,
382.00,0.01,
383.00,-0.01,
384.00,-0.00,
385.00,0.02,
386.00,-0.01,
387.00,-0.01,
388.00,-0.00,
389.00,-0.01,
390.00,0.00,
391.00,-0.01,
392.00,-0.02,
393.00,-0.02,
394.00,0.00,
395.00,-0.01,
396.00,-0.00,
397.00,0.00,
398.00,0.00,
399.00,0.02,
400.00,0.01,
401.00,0.00,
402.00,0.00,
403.00,0.01,
404.00,0.01,
405.00,0.03,
406.00,0.01,
407.00,0.01,
408.00,0.04,
409.00,0.01,
410.00,0.01,
411.00,-0.00,
412.00,-0.00,
413.00,0.01,
414.00,0.01,
415.00,-0.02,
416.00,-0.01,
417.00,0.02,
418.00,0.00,
419.00,0.03,
420.00,0.01,
421.00,0.01,
422.00,0.03,
423.00,0.03,
424.00,0.01,
425.00,0.01,
426.00,0.02,
427.00,0.02,
428.00,0.06,
429.00,0.03,
430.00,0.02,
431.00,0.05,
432.00,0.02,
433.00,0.03,
434.00,0.01,
435.00,-0.02,
436.00,-0.00,
437.00,0.03,
438.00,-0.03,
439.00,-0.02,
440.00,-0.02,
441.00,-0.02,
442.00,0.01,
443.00,0.01,
444.00,-0.00,
445.00,0.00,
446.00,0.03,
447.00,0.01,
448.00,0.00,
449.00,-0.03,
450.00,-0.03,
451.00,-0.01,
452.00,-0.03,
453.00,-0.03,
454.00,-0.03,
455.00,-0.00,
456.00,0.02,
457.00,0.04,
458.00,-0.01,
459.00,-0.01,
460.00,0.03,
461.00,-0.02,
462.00,-0.03,
463.00,-0.03,
464.00,-0.02,
465.00,0.02,
466.00,0.05,
467.00,0.02,
468.00,0.01,
469.00,0.05,
470.00,0.01,
471.00,0.04,
472.00,0.01,
473.00,-0.00,
474.00,0.03,
475.00,0.03,
476.00,0.02,
477.00,-0.01,
478.00,-0.02,
479.00,-0.05,
480.00,0.03,
481.00,-0.04,
482.00,-0.07,
483.00,0.04,
484.00,0.01,
485.00,0.04,
486.00,0.03,
487.00,0.03,
488.00,0.06,
489.00,0.08,
490.00,-0.02,
491.00,-0.01,
492.00,0.04,
493.00,-0.01,
494.00,0.05,
495.00,-0.02,
496.00,-0.05,
497.00,-0.00,
498.00,-0.01,
499.00,-0.08,
500.00,-0.01,
501.00,-0.00,
502.00,-0.02,
503.00,0.06,
504.00,-0.01,
505.00,-0.01,
506.00,0.01,
507.00,-0.03,
508.00,0.01,
509.00,0.01,
510.00,-0.02,
511.00,-0.01,
512.00,0.07,
513.00,0.00,
514.00,-0.00,
515.00,0.02,
516.00,-0.04,
517.00,0.03,
518.00,-0.06,
519.00,-0.07,
520.00,-0.02,
521.00,0.00,
522.00,-0.03,
523.00,0.02,
524.00,0.01,
525.00,-0.04,
526.00,0.06,
527.00,-0.03,
528.00,-0.02,
529.00,0.02,
530.00,0.02,
531.00,0.05,
532.00,0.10,
533.00,0.08,
534.00,0.08,
535.00,0.12,
536.00,0.00,
537.00,0.05,
538.00,0.04,
539.00,0.00,
540.00,0.05,
541.00,-0.03,
542.00,-0.04,
543.00,-0.04,
544.00,0.01,
545.00,-0.04,
546.00,0.04,
547.00,-0.01,
548.00,-0.02,
549.00,0.11,
550.00,0.00,
551.00,0.00,
552.00,0.00,
553.00,0.01,
554.00,0.05,
555.00,0.08,
556.00,-0.01,
557.00,-0.02,
558.00,0.11,
559.00,-0.01,
560.00,0.01,
561.00,0.02,
562.00,0.03,
563.00,0.12,
564.00,0.01,
565.00,-0.02,
566.00,0.00,
567.00,0.05,
568.00,-0.04,
569.00,0.00,
570.00,-0.06,
571.00,-0.08,
572.00,0.05,
573.00,-0.04,
574.00,0.01,
575.00,0.08,
576.00,0.15,
577.00,0.21,
578.00,0.15,
579.00,0.04,
580.00,0.02,
581.00,0.11,
582.00,-0.04,
583.00,-0.01,
584.00,0.11,
585.00,0.14,
586.00,0.26,
587.00,0.18,
588.00,0.13,
589.00,0.12,
590.00,0.12,
591.00,0.02,
592.00,0.03,
593.00,-0.02,
594.00,-0.03,
595.00,0.17,
596.00,0.06,
597.00,0.04,
598.00,0.10,
599.00,0.06,
600.00,0.13,
601.00,0.06,
602.00,-0.02,
603.00,0.01,
604.00,0.07,
605.00,-0.08,
606.00,-0.14,
607.00,-0.10,
608.00,-0.18,
609.00,-0.07,
610.00,-0.12,
611.00,-0.14,
612.00,0.01,
613.00,0.01,
614.00,0.00,
615.00,0.03,
616.00,-0.02,
617.00,-0.11,
618.00,0.01,
619.00,-0.12,
620.00,-0.12,
621.00,0.01,
622.00,-0.05,
623.00,0.09,
624.00,0.05,
625.00,0.00,
626.00,0.04,
627.00,-0.02,
628.00,-0.14,
629.00,-0.08,
630.00,-0.08,
631.00,-0.09,
632.00,0.11,
633.00,0.02,
634.00,-0.02,
635.00,0.01,
636.00,-0.04,
637.00,-0.02,
638.00,-0.03,
639.00,0.04,
640.00,0.04,
641.00,0.08,
642.00,0.01,
643.00,0.05,
644.00,0.03,
645.00,-0.05,
646.00,0.05,
647.00,0.06,
648.00,0.06,
649.00,0.07,
650.00,0.03,
651.00,0.01,
652.00,0.04,
653.00,0.04,
654.00,-0.06,
655.00,0.06,
656.00,0.06,
657.00,0.00,
658.00,0.04,
659.00,-0.05,
660.00,0.00,
661.00,0.01,
662.00,-0.09,
663.00,-0.02,
664.00,-0.04,
665.00,-0.03,
666.00,-0.02,
667.00,-0.02,
668.00,-0.08,
669.00,0.03,
670.00,0.03,
671.00,-0.06,
672.00,0.06,
673.00,-0.01,
674.00,0.02,
675.00,0.04,
676.00,0.00,
677.00,0.03,
678.00,0.05,
679.00,0.07,
680.00,0.01,
681.00,0.02,
682.00,-0.01,
683.00,0.03,
684.00,0.02,
685.00,-0.07,
686.00,0.05,
687.00,0.02,
688.00,-0.03,
689.00,-0.01,
690.00,-0.02,
691.00,-0.00,
692.00,0.05,
693.00,0.07,
694.00,0.03,
695.00,0.11,
696.00,0.05,
697.00,0.03,
698.00,0.04,
699.00,-0.06,
700.00,0.07,
701.00,0.03,
702.00,0.02,
703.00,0.12,
704.00,0.06,
705.00,0.06,
706.00,0.10,
707.00,0.13,
708.00,0.06,
709.00,0.14,
710.00,0.10,
711.00,0.06,
712.00,0.12,
713.00,-0.01,
714.00,0.07,
715.00,0.05,
716.00,-0.00,
717.00,0.06,
718.00,0.01,
719.00,0.01,
720.00,0.08,
721.00,0.06,
722.00,-0.04,
723.00,0.14,
724.00,0.11,
725.00,-0.04,
726.00,0.00,
727.00,-0.02,
728.00,0.05,
729.00,0.05,
730.00,-0.03,
731.00,0.10,
732.00,0.12,
733.00,0.08,
734.00,-0.01,
735.00,-0.06,
736.00,-0.16,
737.00,0.01,
738.00,-0.02,
739.00,-0.19,
740.00,0.12,
741.00,0.03,
742.00,-0.01,
743.00,-0.03,
744.00,-0.17,
745.00,-0.09,
746.00,-0.13,
747.00,-0.04,
748.00,0.02,
749.00,-0.01,
750.00,0.04,
751.00,0.05,
752.00,0.04,
753.00,-0.18,
754.00,0.00,
755.00,0.01,
756.00,-0.16,
757.00,0.06,
758.00,-0.01,
759.00,0.08,
760.00,0.14,
761.00,-0.03,
762.00,0.09,
763.00,0.00,
764.00,-0.01,
765.00,-0.06,
766.00,-0.04,
767.00,0.00,
768.00,0.51,
769.00,2.22,
770.00,2.08,
771.00,2.35,
772.00,2.42,
773.00,2.45,
774.00,2.20,
775.00,0.07,
776.00,0.14,
777.00,0.14,
778.00,0.00,
779.00,-0.24,
780.00,-0.21,
781.00,-0.02,
782.00,0.14,
783.00,-0.00,
784.00,-0.17,
785.00,0.19,
786.00,0.25,
787.00,-0.02,
788.00,0.03,
789.00,0.05,
790.00,0.20,
791.00,0.17,
792.00,-0.01,
793.00,0.04,
794.00,0.01,
795.00,0.14,
796.00,-0.01,
797.00,-0.07,
798.00,-0.17,
799.00,0.09,
800.00,0.13,
801.00,-0.33,
802.00,-0.09,
803.00,-0.02,
804.00,-0.03,
805.00,-0.10,
806.00,-0.39,
807.00,-0.02,
808.00,-0.01,
809.00,-0.08,
810.00,-0.04,
811.00,-0.03,
812.00,0.18,
813.00,0.12,
814.00,0.00,
815.00,-0.05,
816.00,0.21,
817.00,0.27,
818.00,0.09,
819.00,0.26,
820.00,0.19,
821.00,0.29,
822.00,0.18,
823.00,-0.10,
824.00,0.05,
825.00,-0.05,
826.00,0.04,
827.00,0.03,
828.00,-0.04,
829.00,0.01,
830.00,0.07,
831.00,0.19,
832.00,0.02,
833.00,0.03,
834.00,0.10,
835.00,0.25,
836.00,0.16,
837.00,-0.12,
838.00,0.03,
839.00,0.10,
840.00,-0.03,
841.00,-0.07,
842.00,-0.08,
843.00,0.17,
844.00,0.14,
845.00,0.02,
846.00,0.03,
847.00,0.04,
848.00,0.15,
849.00,-0.01,
850.00,-0.06,
851.00,-0.03,
852.00,0.08,
853.00,0.09,
854.00,-0.07,
855.00,0.04,
856.00,0.13,
857.00,0.09,
858.00,0.08,
859.00,-0.00,
860.00,0.14,
861.00,0.14,
862.00,0.04,
863.00,0.12,
864.00,0.08,
865.00,0.20,
866.00,0.15,
867.00,0.08,
868.00,0.12,
869.00,0.16,
870.00,0.24,
871.00,0.11,
872.00,0.15,
873.00,0.22,
874.00,0.17,
875.00,0.13,
876.00,-0.03,
877.00,0.07,
878.00,0.11,
879.00,0.02,
880.00,0.08,
881.00,0.00,
882.00,0.13,
883.00,0.14,
884.00,0.01,
885.00,-0.00,
886.00,-0.01,
887.00,0.13,
888.00,0.10,
889.00,0.01,
890.00,-0.00,
891.00,0.08,
892.00,0.11,
893.00,-0.06,
894.00,-0.05,
895.00,-0.01,
896.00,0.09,
897.00,0.06,
898.00,-0.08,
899.00,0.05,
900.00,0.09,
901.00,-0.00,
902.00,0.00,
903.00,-0.03,
904.00,0.08,
905.00,0.07,
906.00,-0.06,
907.00,0.03,
908.00,0.02,
909.00,0.01,
910.00,-0.01,
911.00,-0.06,
912.00,0.00,
913.00,0.06,
914.00,0.04,
915.00,-0.03,
916.00,-0.01,
917.00,0.06,
918.00,0.03,
919.00,-0.02,
920.00,-0.11,
921.00,0.04,
922.00,0.06,
923.00,-0.07,
924.00,0.05,
925.00,0.00,
926.00,0.11,
927.00,0.11,
928.00,-0.02,
929.00,0.10,
930.00,0.01,
931.00,0.01,
932.00,0.06,
933.00,0.00,
934.00,0.08,
935.00,0.14,
936.00,0.11,
937.00,0.11,
938.00,0.01,
939.00,0.10,
940.00,0.13,
941.00,0.02,
942.00,-0.00,
943.00,0.07,
944.00,0.12,
945.00,-0.06,
946.00,-0.02,
947.00,0.01,
948.00,0.07,
949.00,0.11,
950.00,-0.02,
951.00,0.16,
952.00,0.13,
953.00,-0.00,
954.00,0.02,
955.00,-0.12,
956.00,-0.02,
957.00,0.01,
958.00,-0.14,
959.00,0.01,
960.00,0.00,
961.00,0.04,
962.00,0.08,
963.00,-0.02,
964.00,0.11,
965.00,0.12,
966.00,-0.03,
967.00,0.01,
968.00,-0.05,
969.00,-0.04,
970.00,-0.06,
971.00,-0.09,
972.00,-0.02,
973.00,0.00,
974.00,0.07,
975.00,0.08,
976.00,0.09,
977.00,0.09,
978.00,0.11,
979.00,0.10,
980.00,0.01,
981.00,0.04,
982.00,0.04,
983.00,-0.03,
984.00,-0.02,
985.00,-0.06,
986.00,0.03,
987.00,0.09,
988.00,-0.12,
989.00,0.02,
990.00,0.07,
991.00,-0.01,
992.00,0.07,
993.00,-0.01,
994.00,0.19,
995.00,0.21,
996.00,-0.03,
997.00,0.09,
998.00,0.04,
999.00,0.01,
1000.00,0.06,
1001.00,-0.03,
1002.00,0.05,
1003.00,0.05,
1004.00,-0.02,
1005.00,0.07,
1006.00,0.05,
1007.00,0.06,
1008.00,0.16,
1009.00,0.09,
1010.00,0.14,
1011.00,0.10,
1012.00,0.01,
1013.00,0.11,
1014.00,-0.04,
1015.00,0.03,
1016.00,0.09,
